


Comparator, File, Num String, Size (#), Build (ms), Iterator(ms), Iterate(ms), Contains(ms), NumContained, 
null, lexicographically_ordered.txt, 2000, 2000, 19, 14, 1, 13, 77, 
null, lexicographically_ordered.txt, 4000, 4000, 27, 57, 3, 16, 121, 
null, lexicographically_ordered.txt, 8000, 8000, 8, 216, 8, 28, 168, 
null, lexicographically_ordered.txt, 16000, 16000, 7, 891, 20, 53, 275, 
null, random_order.txt, 2000, 2000, 0, 13, 0, 7, 51, 
null, random_order.txt, 4000, 3999, 2, 54, 1, 16, 76, 
null, random_order.txt, 8000, 7999, 3, 227, 3, 28, 139, 
null, random_order.txt, 16000, 15997, 5, 885, 17, 50, 262, 
null, reverse_ordered.txt, 2000, 2000, 1, 11, 0, 7, 58, 
null, reverse_ordered.txt, 4000, 3999, 1, 54, 1, 15, 91, 
null, reverse_ordered.txt, 8000, 7999, 1, 213, 3, 29, 126, 
null, reverse_ordered.txt, 16000, 15999, 3, 878, 17, 60, 187, 
StringByLex(), lexicographically_ordered.txt, 2000, 2000, 23, 51, 1, 1, 77, 
StringByLex(), lexicographically_ordered.txt, 4000, 4000, 19, 22, 1, 2, 121, 
StringByLex(), lexicographically_ordered.txt, 8000, 8000, 15, 37, 4, 0, 168, 
StringByLex(), lexicographically_ordered.txt, 16000, 16000, 19, 53, 25, 1, 275, 
StringByLex(), random_order.txt, 2000, 2000, 7, 4, 0, 1, 51, 
StringByLex(), random_order.txt, 4000, 3999, 18, 11, 2, 1, 76, 
StringByLex(), random_order.txt, 8000, 7999, 18, 23, 6, 1, 139, 
StringByLex(), random_order.txt, 16000, 15997, 31, 30, 15, 0, 262, 
StringByLex(), reverse_ordered.txt, 2000, 2000, 2, 1, 0, 0, 58, 
StringByLex(), reverse_ordered.txt, 4000, 3999, 4, 2, 1, 0, 91, 
StringByLex(), reverse_ordered.txt, 8000, 7999, 8, 5, 5, 0, 126, 
StringByLex(), reverse_ordered.txt, 16000, 15999, 23, 8, 15, 0, 187, 
StringReverseByLex(), lexicographically_ordered.txt, 2000, 2000, 33, 6, 0, 2, 77, 
StringReverseByLex(), lexicographically_ordered.txt, 4000, 4000, 30, 22, 1, 2, 121, 
StringReverseByLex(), lexicographically_ordered.txt, 8000, 8000, 60, 43, 6, 2, 168, 
StringReverseByLex(), lexicographically_ordered.txt, 16000, 16000, 127, 57, 17, 2, 275, 
StringReverseByLex(), random_order.txt, 2000, 2000, 14, 4, 0, 1, 51, 
StringReverseByLex(), random_order.txt, 4000, 3999, 18, 8, 1, 1, 76, 
StringReverseByLex(), random_order.txt, 8000, 7999, 34, 19, 3, 2, 139, 
StringReverseByLex(), random_order.txt, 16000, 15997, 69, 44, 17, 1, 262, 
StringReverseByLex(), reverse_ordered.txt, 2000, 2000, 6, 4, 0, 2, 58, 
StringReverseByLex(), reverse_ordered.txt, 4000, 3999, 11, 8, 1, 1, 91, 
StringReverseByLex(), reverse_ordered.txt, 8000, 7999, 28, 23, 3, 1, 126, 
StringReverseByLex(), reverse_ordered.txt, 16000, 15999, 65, 53, 20, 3, 187, 
Comparator, File, Num String, Size (#), Build (ms), Iterator(ms), Iterate(ms), Contains(ms), NumContained, 
null, hippooath.txt, 466, 230, 0, 0, 0, 1, 180, 
null, Confucius_The_Great_Learning.txt, 3176, 838, 1, 10, 1, 8, 150, 
null, Apology_Plato.txt, 11513, 1802, 3, 89, 0, 35, 164, 
StringByLex(), hippooath.txt, 466, 230, 2, 1, 0, 0, 180, 
StringByLex(), Confucius_The_Great_Learning.txt, 3176, 838, 12, 1, 0, 0, 150, 
StringByLex(), Apology_Plato.txt, 11513, 1802, 33, 1, 1, 0, 164, 
StringReverseByLex(), hippooath.txt, 466, 230, 3, 0, 0, 2, 180, 
StringReverseByLex(), Confucius_The_Great_Learning.txt, 3176, 838, 17, 2, 0, 2, 150, 
StringReverseByLex(), Apology_Plato.txt, 11513, 1802, 67, 4, 0, 2, 164, 

