


Comparator, File, Num String, Size (#), Build (ms), Iterator(ms), Iterate(ms), Contains(ms), NumContained, 
null, lexicographically_ordered.txt, 2000, 2000, 17, 13, 1, 8, 77, 
null, lexicographically_ordered.txt, 4000, 4000, 7, 54, 3, 16, 121, 
null, lexicographically_ordered.txt, 8000, 8000, 8, 233, 8, 32, 168, 
null, lexicographically_ordered.txt, 16000, 16000, 9, 905, 17, 51, 275, 
null, random_order.txt, 2000, 2000, 1, 11, 0, 8, 51, 
null, random_order.txt, 4000, 3999, 1, 51, 1, 15, 76, 
null, random_order.txt, 8000, 7999, 3, 227, 4, 29, 139, 
null, random_order.txt, 16000, 15997, 4, 900, 17, 50, 262, 
null, reverse_ordered.txt, 2000, 2000, 1, 11, 0, 7, 58, 
null, reverse_ordered.txt, 4000, 3999, 0, 50, 1, 15, 91, 
null, reverse_ordered.txt, 8000, 7999, 1, 214, 4, 29, 126, 
null, reverse_ordered.txt, 16000, 15999, 3, 896, 15, 57, 187, 
StringByLex(), lexicographically_ordered.txt, 2000, 2000, 81, 7, 0, 32, 77, 
StringByLex(), lexicographically_ordered.txt, 4000, 4000, 204, 21, 2, 20, 121, 
StringByLex(), lexicographically_ordered.txt, 8000, 8000, 786, 9, 4, 25, 168, 
StringByLex(), lexicographically_ordered.txt, 16000, 16000, 3444, 9, 15, 44, 275, 
StringByLex(), random_order.txt, 2000, 2000, 6, 1, 0, 1, 51, 
StringByLex(), random_order.txt, 4000, 3999, 14, 1, 1, 0, 76, 
StringByLex(), random_order.txt, 8000, 7999, 20, 4, 4, 0, 139, 
StringByLex(), random_order.txt, 16000, 15997, 27, 8, 15, 1, 262, 
StringByLex(), reverse_ordered.txt, 2000, 2000, 1, 1, 0, 1, 58, 
StringByLex(), reverse_ordered.txt, 4000, 3999, 2, 1, 1, 1, 91, 
StringByLex(), reverse_ordered.txt, 8000, 7999, 7, 3, 4, 1, 126, 
StringByLex(), reverse_ordered.txt, 16000, 15999, 17, 6, 20, 0, 187, 
StringReverseByLex(), lexicographically_ordered.txt, 2000, 2000, 34, 11, 0, 4, 77, 
StringReverseByLex(), lexicographically_ordered.txt, 4000, 4000, 30, 22, 2, 3, 121, 
StringReverseByLex(), lexicographically_ordered.txt, 8000, 8000, 38, 90, 5, 1, 168, 
StringReverseByLex(), lexicographically_ordered.txt, 16000, 16000, 74, 57, 18, 2, 275, 
StringReverseByLex(), random_order.txt, 2000, 2000, 6, 3, 1, 1, 51, 
StringReverseByLex(), random_order.txt, 4000, 3999, 14, 6, 1, 2, 76, 
StringReverseByLex(), random_order.txt, 8000, 7999, 25, 23, 5, 2, 139, 
StringReverseByLex(), random_order.txt, 16000, 15997, 61, 45, 18, 1, 262, 
StringReverseByLex(), reverse_ordered.txt, 2000, 2000, 344, 3, 0, 5, 58, 
StringReverseByLex(), reverse_ordered.txt, 4000, 3999, 693, 7, 1, 73, 91, 
StringReverseByLex(), reverse_ordered.txt, 8000, 7999, 3751, 16, 5, 183, 126, 
StringReverseByLex(), reverse_ordered.txt, 16000, 15999, 23988, 43, 16, 306, 187, 
Comparator, File, Num String, Size (#), Build (ms), Iterator(ms), Iterate(ms), Contains(ms), NumContained, 
null, hippooath.txt, 466, 230, 0, 0, 0, 1, 180, 
null, Confucius_The_Great_Learning.txt, 3176, 838, 1, 9, 0, 9, 150, 
null, Apology_Plato.txt, 11513, 1802, 2, 77, 0, 32, 164, 
StringByLex(), hippooath.txt, 466, 230, 0, 0, 0, 1, 180, 
StringByLex(), Confucius_The_Great_Learning.txt, 3176, 838, 13, 0, 0, 1, 150, 
StringByLex(), Apology_Plato.txt, 11513, 1802, 7, 1, 0, 1, 164, 
StringReverseByLex(), hippooath.txt, 466, 230, 1, 1, 0, 1, 180, 
StringReverseByLex(), Confucius_The_Great_Learning.txt, 3176, 838, 17, 1, 0, 1, 150, 
StringReverseByLex(), Apology_Plato.txt, 11513, 1802, 31, 5, 1, 1, 164, 

